,Name,Email,Phone Number,VisitDate
0,Angela Graham,danielle92@example.org,8683647626,INVALID_DATE
1,Theresa Williams,rsweeney@example.net,858.802.7240x0637,2024-08-04
2,Justin Page,melissahall@example.com,001-935-859-3826,INVALID_DATE
3,Sean Wright,ehernandez@example.net,001-470-482-8196x075,2024-06-27
4,Pamela Moreno,stevenmoore@example.org,+1-788-597-7233x6677,INVALID_DATE
5,Dana Miller,henrysarah@example.com,001-901-998-4529x214,2024-01-05
6,Zoe Martinez,wilsonjoy@example.com,+1-951-829-8014x998,2024-01-09
7,Joseph Wyatt,tonyavalenzuela@example.org,7973087313,INVALID_DATE
8,Michael Thompson MD,cookamanda@example.org,001-218-641-0890x39106,2024-04-23
9,Dawn Mosley,ann33@example.com,681-344-2581x1093,INVALID_DATE
