Name,Email,Phone Number,Visit Date,Total Bill,Payment Method,Rating,Feedback
Jennifer Perez,heather35@example.com,001-582-842-4289,INVALID_DATE,,Debit Card,INVALID_RATING,Decide expect trial media fish human break.
Jon Washington,deniseevans@example.net,001-400-901-0195x013,INVALID_DATE,,Debit Card,1.555696058639092,
James Johnson,fswanson@example.com,+1-941-512-7942x30673,2024-03-12,341.4,INVALID_METHOD,3.6195639314991555,Type ok commercial international.
Alicia Robinson,cynthiajames@example.net,+1-756-655-8834x4117,,362.86,INVALID_METHOD,6.0,INVALID_FEEDBACK
Steven Lee,ratkins@example.net,836-740-1219x6326,INVALID_DATE,333.27,,4.246387616080658,INVALID_FEEDBACK
Bryan Nunez,rodriguezmackenzie@example.com,591.957.7790,2024-06-06,,Credit Card,-1.0,Stuff within available identify each late.
Susan Atkins,morgannicholas@example.com,(725)418-6603,2024-03-10,50.02,Debit Card,2.1320756971390145,Range consumer light exactly media yard.
Christian Rogers,olsonsteven@example.com,720-344-8412x40570,,207.92,INVALID_METHOD,2.2093303834842444,
Joseph Watson,walkerdaniel@example.com,992-490-4669,2024-03-02,9.28,INVALID_METHOD,,Remember human stock summer here.
Joshua Yu,sharon09@example.com,001-720-869-6899x467,2024-05-04,,INVALID_METHOD,INVALID_RATING,South speech practice mean social maintain site.
Jesse Webb,awalker@example.com,(294)786-4812,,INVALID_AMOUNT,,3.2288903127635615,Drop toward provide water sometimes wife.
Judy Mckenzie,allisonrodriguez@example.org,+1-636-968-2726x37010,,61.83,INVALID_METHOD,6.0,Whatever company start hand share doctor summer.
Mr. Philip Todd,michael87@example.org,+1-253-715-7993x82101,2024-02-27,101.3,INVALID_METHOD,1.5343917945533216,Role work man wish child film top.
Patricia Gutierrez,lwhite@example.org,+1-319-547-6100x4469,,INVALID_AMOUNT,Debit Card,INVALID_RATING,Morning sense true property.
Zachary Johnston,zjohnson@example.net,(570)364-0211x7878,,150.26,INVALID_METHOD,4.4803948218236265,INVALID_FEEDBACK
Roberta Gibson,natalie96@example.net,841.276.5156x9814,,405.85,Credit Card,4.462834324133784,Behind bad him phone make range growth.
Angel Berg,merrittjames@example.com,652-816-9586x6886,2024-05-07,114.67,,1.0487612456307427,Home rule either laugh form race adult country.
Timothy Murray,brett24@example.org,001-772-465-9881x9157,2024-05-01,INVALID_AMOUNT,Debit Card,4.480501512361494,
David Conrad,rmelton@example.org,339-974-7902,INVALID_DATE,,Debit Card,3.8414361468525926,
Susan Hunter,matthewcowan@example.com,(855)333-4439,INVALID_DATE,333.84,INVALID_METHOD,4.693780918682094,INVALID_FEEDBACK
Thomas Perez,hfisher@example.org,516.407.0142,INVALID_DATE,210.14,INVALID_METHOD,2.599993813610978,Herself task recognize school set.
Brittany Benitez DDS,maryclay@example.net,001-490-824-4800,2024-01-15,INVALID_AMOUNT,Credit Card,3.020500465948284,INVALID_FEEDBACK
Emma Moore,mathewsmichelle@example.com,001-949-922-0616x97779,,361.95,,INVALID_RATING,
Sarah Medina,ijohnson@example.org,(593)928-8044,,274.4,Debit Card,4.5053752437819465,Cell course explain whether of face actually.
Damon Moss,villanuevabrenda@example.org,5836748894,INVALID_DATE,495.5,INVALID_METHOD,INVALID_RATING,
Natalie Fisher,marisa65@example.org,781-838-0632x804,2024-01-01,,Credit Card,-1.0,INVALID_FEEDBACK
Richard Rivas,jjohnson@example.com,797-374-9733x94925,INVALID_DATE,,,-1.0,Share something identify accept information his movement.
April Romero,tpittman@example.com,001-734-976-2338x77863,INVALID_DATE,,Cash,3.0540357134873206,INVALID_FEEDBACK
Jason Elliott,swalker@example.org,(248)285-8533,INVALID_DATE,92.47,INVALID_METHOD,1.0059433796178143,
Cynthia Kennedy,ariel25@example.org,+1-665-740-4770x590,INVALID_DATE,,Debit Card,INVALID_RATING,INVALID_FEEDBACK
Linda Salinas,carlsonjermaine@example.com,(647)770-8822x66758,2024-07-14,,,3.2456417536975195,Truth south that must machine brother.
Terry James,lee53@example.org,311.573.4228,2024-02-29,363.25,,3.6843327585691137,
Nicholas Pham,owenschristopher@example.com,956-792-5194x59472,2024-03-24,104.18,Debit Card,,INVALID_FEEDBACK
Kyle Grant,barberadam@example.com,470.240.6168x790,,425.55,INVALID_METHOD,6.0,
Theodore Jordan,patrickadams@example.org,001-899-301-5273x954,2024-04-15,,,1.56684003753743,Shake organization wonder employee plan nation take.
Blake Garcia,sullivankari@example.com,+1-507-774-1853x3314,INVALID_DATE,144.68,Debit Card,4.2607313348092095,INVALID_FEEDBACK
Anne Rodriguez,hammondbridget@example.org,(808)392-1407x0264,,151.82,Credit Card,2.8916441181178247,
Tanner Thompson,jamesnancy@example.com,(420)413-4751,2024-03-22,398.32,Cash,-1.0,Memory media space eat sure discuss blood.
Billy Sherman,judith61@example.com,001-512-985-6560x12558,INVALID_DATE,,Credit Card,INVALID_RATING,Force score recent tonight price.
Debra Eaton,morganbrenda@example.com,932.575.9511x45410,INVALID_DATE,216.75,,3.4103595556155675,INVALID_FEEDBACK
Justin Davis,yholmes@example.net,595-346-6582x5705,INVALID_DATE,,INVALID_METHOD,-1.0,
Heather Sanders,watkinstimothy@example.org,(674)814-0779x8811,2024-03-27,422.01,,4.690622361322379,INVALID_FEEDBACK
Julie Chen,fstewart@example.org,001-969-407-7739,2024-02-23,,INVALID_METHOD,4.1121892699187175,INVALID_FEEDBACK
Gregory Foster,wadematthew@example.org,626-381-5450x15974,2024-01-05,,Credit Card,INVALID_RATING,
Tony Benson,reneejenkins@example.net,+1-425-845-8713x0118,INVALID_DATE,447.85,Debit Card,,
Kendra Vega,kenneth43@example.net,575.985.0173x48527,,223.39,Credit Card,3.232070853802193,INVALID_FEEDBACK
