Name,Email,Phone Number,Visit Date,Total Bill,Payment Method,Rating,Feedback
Jessica Mann,susan98@example.com,(738)963-4045x363,2024-06-28,301.87,NaN,,NaN
Patricia Mitchell,parkskim@example.net,647-734-0984,NaN,,Credit Card,2.6096981475348513,Actually decision remain.
Kristin Johnson,christinapalmer@example.com,742.763.2858x79312,2024-01-07,309.56,Cash,3.103861044914294,Outside store tree whole yourself movement war often.
Grace Johnson,tgay@example.org,(410)363-4499,,273.49,NaN,1.914464093943617,
Nicole Fisher,leecolleen@example.net,001-320-849-8236,2024-06-27,493.98,Debit Card,2.0119616981588497,
Lori Decker,gavingutierrez@example.net,+1-977-610-1845x5807,2024-05-10,,Cash,6.0,
Cynthia Moran,lucas60@example.org,+1-336-569-4706,2024-03-04,NaN,NaN,1.100436164712141,NaN
Glenn Williams,nbrown@example.net,812.976.7553,NaN,175.82,Cash,3.868506174539274,Agree whom some road which other despite.
Mrs. Samantha Smith,dpierce@example.org,+1-900-907-9624,2024-04-27,,Debit Card,6.0,Attorney ground claim should.
Ashley Gordon DDS,zcruz@example.org,5609295716,2024-07-04,357.96,Debit Card,1.7892326874296356,
